Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60217302,"Twisted Lies (Twisted, #4)",Ana Huang,"Huang, Ana",,"=""""","=""""",5,4.18,,Kindle Edition,530,2022,2022,,2024/07/12,,,read,,,,1,0
56688531,"Twisted Hate (Twisted, #3)",Ana Huang,"Huang, Ana",,"=""""","=""""",3,3.96,,Kindle Edition,522,2022,2022,,2024/07/12,,,read,,,,1,0
56653002,"Twisted Games (Twisted, #2)",Ana Huang,"Huang, Ana",,"=""""","=""""",5,4.09,,Kindle Edition,456,2021,2021,,2024/07/12,,,read,,,,1,0
55817097,"Twisted Love (Twisted, #1)",Ana Huang,"Huang, Ana",,"=""""","=""""",4,3.72,,Kindle Edition,360,2021,2021,2024/02/13,2024/07/12,,,read,,,,1,0
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",5,4.13,Dutton Books,Hardcover,313,2012,2012,,2024/07/11,,,read,,,,1,0
90202302,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374178""","=""9781649374172""",4,4.37,Entangled: Red Tower Books,Hardcover,623,2023,2023,,2024/07/11,,,read,,,,1,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,"=""0765387565""","=""9780765387561""",3,4.17,Tor Books,Hardcover,448,2020,2020,,2024/07/11,,,read,,,,1,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",5,4.58,Entangled: Red Tower Books,Hardcover,517,2023,2023,2023/09/12,2024/07/11,,,read,,,,1,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",3,4.31,Ecco,Paperback,408,2012,2011,,2024/07/11,,,read,,,,1,0
55659629,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,"Bailey, Tessa",,"=""0063045656""","=""9780063045651""",5,3.92,Avon,Paperback,397,2021,2021,,2024/07/11,,,read,,,,1,0
36199084,"The Kiss Quotient (The Kiss Quotient, #1)",Helen Hoang,"Hoang, Helen",,"=""0451490819""","=""""",3,3.88,Berkley,Kindle Edition,323,2018,2018,,2024/07/11,,,read,,,,1,0
42201431,"The Unhoneymooners (Unhoneymooners, #1)",Christina Lauren,"Lauren, Christina",,"=""1501128035""","=""9781501128035""",5,3.90,Gallery Books,Paperback,432,2019,2019,,2024/07/11,,,read,,,,1,0
58690308,Book Lovers,Emily Henry,"Henry, Emily",,"=""0593334833""","=""9780593334836""",4,4.11,Berkley,Paperback,377,2022,2022,,2024/07/11,,,read,,,,1,0
41150487,"Red, White & Royal Blue",Casey McQuiston,"McQuiston, Casey",,"=""1250316774""","=""9781250316776""",4,4.06,St. Martin's Griffin,Paperback,448,2019,2019,,2024/07/11,,,read,,,,1,0
